[1, 2, 2, 3, 2, 1, 1, 1, 1, 2, 2, 2, 1, 1, 3, 0],24.063285466360465,23.420635123176112,24.8
[3, 3, 1, 1, 1, 2, 0, 2, 3, 1, 0, 3, 2, 2, 2, 0],40.86674118862325,25.177546979213098,25.72
[0, 1, 2, 3, 1, 0, 1, 0, 0, 2, 3, 0, 3, 1, 2, 0],55.19252065342279,24.514213500505466,19.0
[1, 3, 1, 2, 3, 2, 3, 3, 1, 2, 3, 2, 3, 2, 0, 0],22.617285896995792,23.88634304812509,29.48
[3, 0, 2, 3, 2, 0, 0, 1, 3, 1, 3, 2, 2, 1, 1, 0],35.7907664721956,24.586627644856193,23.92
[3, 2, 2, 3, 1, 0, 1, 1, 1, 1, 1, 3, 1, 3, 0, 0],35.12138943487748,23.383136435334176,22.9
[2, 3, 0, 3, 0, 3, 3, 1, 1, 0, 1, 0, 0, 2, 1, 0],53.58930254051265,24.52811942032705,19.86
[3, 1, 0, 0, 3, 2, 3, 0, 0, 3, 0, 1, 0, 2, 1, 0],63.12570713958172,25.89103603330256,19.0
[1, 0, 1, 0, 1, 1, 1, 2, 1, 0, 2, 1, 3, 1, 0, 0],77.61237350707128,25.805621078361064,15.0
[1, 1, 3, 2, 3, 3, 1, 0, 0, 1, 0, 2, 3, 2, 1, 0],48.27680698947167,25.893348221636685,21.72
[3, 0, 0, 1, 3, 3, 3, 3, 0, 1, 3, 2, 1, 3, 2, 0],43.42492259014833,26.073082497758573,25.8
[0, 0, 1, 2, 0, 0, 3, 3, 0, 2, 2, 1, 3, 1, 0, 0],66.4482714417402,25.46367647630032,18.0
[0, 3, 1, 2, 1, 1, 0, 0, 1, 1, 1, 0, 0, 2, 3, 0],71.17559535935425,24.59178608296697,16.0
[0, 3, 3, 0, 0, 0, 0, 3, 2, 0, 1, 1, 3, 0, 0, 0],87.92100704446993,24.984879269866273,16.0
[0, 0, 1, 1, 1, 0, 3, 3, 3, 2, 0, 2, 3, 1, 2, 0],65.40717500673864,26.21380602269471,20.9
[1, 3, 0, 2, 0, 0, 2, 3, 1, 3, 1, 3, 2, 2, 1, 0],46.091269613307524,24.58178714134323,23.82
[1, 2, 1, 3, 2, 1, 2, 2, 1, 2, 0, 2, 1, 0, 0, 0],37.70760483640745,22.601988157436832,20.0
[3, 0, 1, 3, 3, 1, 3, 1, 2, 3, 0, 3, 1, 3, 2, 0],28.896766330008646,25.193703773930636,28.08
[2, 3, 3, 2, 1, 1, 2, 0, 3, 2, 1, 3, 1, 3, 1, 0],25.336332831131323,23.717224908987586,27.62
[0, 2, 1, 1, 0, 3, 2, 1, 3, 0, 0, 1, 1, 0, 0, 0],67.75172361505433,22.754122771916986,15.0
[1, 2, 0, 1, 2, 2, 1, 3, 0, 0, 0, 0, 2, 3, 2, 0],72.08688384400675,26.584567523372584,19.0
[2, 1, 0, 1, 0, 1, 2, 3, 2, 1, 2, 1, 2, 3, 1, 0],62.28215274145749,25.011913418843932,22.0
[0, 2, 3, 3, 2, 1, 0, 1, 3, 0, 2, 1, 0, 3, 1, 0],41.59391162089607,24.79422914944648,21.4
[2, 0, 1, 3, 1, 0, 3, 0, 3, 0, 2, 3, 0, 0, 0, 0],50.785899479764566,21.775483856842325,18.0
[2, 0, 3, 3, 0, 0, 3, 0, 0, 2, 3, 2, 1, 1, 3, 0],40.729120228058115,24.177024693031512,23.0
[0, 1, 2, 1, 3, 2, 1, 0, 2, 1, 3, 3, 3, 0, 2, 0],33.46829738749473,23.83588303995639,23.14
[1, 1, 2, 0, 1, 3, 3, 2, 3, 3, 0, 2, 2, 0, 2, 0],36.25039029983205,23.9976126147689,24.56
[1, 3, 0, 3, 3, 1, 0, 0, 2, 0, 2, 2, 0, 3, 1, 0],46.93997021743131,25.606137533900288,20.92
[0, 1, 0, 3, 3, 3, 2, 3, 2, 0, 2, 2, 2, 1, 0, 0],41.05241237240321,25.378364287540524,22.18
[3, 0, 2, 2, 0, 1, 1, 0, 0, 1, 1, 1, 2, 3, 2, 0],58.96373634600997,25.459696214599965,19.0
[3, 3, 0, 1, 0, 0, 3, 1, 2, 3, 2, 3, 2, 0, 0, 0],62.97223532612198,23.44641716062963,22.56
[1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 3, 3, 1, 0],230.6857915280038,27.471273920730752,12.0
[2, 0, 2, 2, 2, 3, 3, 1, 0, 3, 3, 1, 3, 0, 3, 0],28.354163770846938,23.951342101414166,27.08
[2, 1, 3, 1, 1, 1, 0, 2, 3, 2, 3, 2, 0, 3, 3, 0],35.670286172833855,24.325755446751977,26.58
[3, 1, 2, 2, 3, 1, 2, 0, 3, 2, 3, 2, 0, 1, 0, 0],27.843669122140422,22.482086039143333,24.8
[2, 2, 1, 3, 3, 2, 3, 0, 2, 0, 2, 2, 0, 3, 1, 0],28.66301948107312,24.137966940904956,25.1
[3, 3, 1, 3, 3, 1, 2, 2, 2, 0, 3, 1, 2, 1, 3, 0],24.903767918280593,24.275920615276064,29.64
[2, 3, 0, 2, 1, 0, 1, 0, 3, 1, 2, 1, 1, 1, 1, 0],48.56401296592379,24.747944780435873,19.0
[3, 3, 2, 2, 0, 1, 0, 1, 1, 2, 1, 1, 2, 2, 3, 0],44.887226233939025,24.824475298511757,23.68
[2, 2, 1, 0, 2, 3, 0, 1, 1, 2, 2, 3, 2, 0, 1, 0],39.07936856900078,23.694492306902465,21.94
[3, 3, 2, 2, 1, 2, 3, 0, 3, 0, 3, 1, 2, 2, 2, 0],24.413339223066092,23.918750935858025,28.74
[0, 2, 2, 0, 3, 3, 3, 0, 1, 0, 1, 3, 2, 1, 3, 0],41.087689067587455,26.280427364810873,22.72
[1, 2, 3, 0, 3, 0, 1, 1, 1, 1, 1, 2, 1, 2, 2, 0],33.38812006535049,23.981332731226857,21.0
