[1, 3, 3, 1, 3, 1, 4, 1, 3, 4, 4, 4, 2, 1, 4, 0],23.338898306178855,21.435083888640328,34.6,-2.4701677772806576
[3, 2, 3, 2, 2, 2, 3, 4, 2, 4, 2, 2, 1, 1, 3, 0],23.71918775977782,20.09641160872419,33.2,1.607176782551619
[3, 1, 1, 3, 2, 1, 3, 4, 4, 2, 1, 4, 1, 4, 4, 0],24.56332952676062,27.60117314429586,31.7,-11.902346288591719
[4, 4, 1, 2, 4, 1, 3, 4, 1, 3, 1, 1, 2, 4, 1, 0],24.085540537317193,29.889426834952513,33.6,-18.378853669905027
[3, 1, 4, 3, 4, 3, 2, 2, 1, 2, 1, 2, 2, 1, 4, 0],25.638327474634604,23.92234047371464,30.2,-3.0446809474292813
[2, 1, 4, 1, 1, 3, 2, 3, 3, 3, 2, 2, 1, 3, 1, 0],22.230015043476662,24.4222759455259,31.0,-4.8445518910518
[1, 4, 2, 3, 4, 3, 1, 1, 4, 4, 3, 2, 1, 1, 3, 0],24.549837324501432,25.34815589673823,30.9,-6.59631179347646
[1, 2, 2, 4, 4, 3, 3, 4, 3, 1, 3, 4, 4, 2, 2, 0],23.718649613551747,21.73710899592887,32.4,-0.8742179918577406
[2, 2, 2, 1, 2, 1, 2, 1, 1, 3, 1, 2, 2, 3, 2, 0],24.207401431173757,25.67959726190535,26.7,-3.0591945238106995
[1, 3, 1, 2, 2, 1, 4, 3, 3, 4, 4, 1, 2, 2, 1, 0],22.27742380014391,24.24176109200327,31.2,-4.683522184006538
[1, 3, 1, 4, 2, 3, 4, 1, 1, 4, 3, 4, 4, 4, 2, 0],25.523866745941856,23.11992108476626,31.6,-2.839842169532524
[1, 1, 4, 1, 2, 3, 2, 4, 1, 3, 4, 3, 3, 2, 2, 0],24.854632978529686,22.23421368504219,31.8,-1.2684273700843782
[1, 4, 3, 1, 3, 2, 4, 1, 2, 3, 1, 2, 1, 1, 3, 0],24.922104756172637,24.800475919162043,30.3,-4.900951838324087
[2, 2, 1, 3, 1, 4, 1, 4, 4, 1, 4, 4, 3, 2, 2, 0],24.886181410940434,23.87466324573592,32.2,-4.949326491471844
[4, 4, 1, 2, 3, 1, 1, 1, 2, 4, 4, 1, 2, 4, 2, 0],25.17428538004354,32.310814647454485,32.5,-22.12162929490897
